epoch,box_loss,cls_loss,dfl_loss,val_box_loss,val_cls_loss,val_dfl_loss,lr,mAP50
1,3.33977,7.21656,0.06571,2.13993,3.09062,0.03834,0.009998,0.38269
2,1.98894,2.69034,0.03483,1.81234,2.23942,0.03039,0.009990,0.48749
3,1.88119,2.26878,0.03201,1.65572,1.94748,0.02673,0.009978,0.56081
4,1.78714,2.04377,0.02956,1.49488,1.67931,0.02314,0.009961,0.61733
5,1.67373,1.83040,0.02681,1.42714,1.54045,0.02171,0.009939,0.65335
6,1.61507,1.71882,0.02553,1.39529,1.48663,0.02098,0.009912,0.66452
7,1.58802,1.64749,0.02476,1.36758,1.45798,0.02044,0.009881,0.67231
8,1.55437,1.60187,0.02399,1.35453,1.43315,0.02020,0.009844,0.67936
9,1.52884,1.56585,0.02345,1.34556,1.41548,0.02003,0.009803,0.68326
10,1.51955,1.53607,0.02318,1.32988,1.39526,0.01973,0.009758,0.69144
11,1.50176,1.51341,0.02278,1.30559,1.37957,0.01919,0.009707,0.69792
12,1.49303,1.48906,0.02256,1.29009,1.36373,0.01887,0.009652,0.70446
13,1.48370,1.47772,0.02228,1.27481,1.34046,0.01851,0.009593,0.70716
14,1.47739,1.45438,0.02227,1.26805,1.31800,0.01841,0.009529,0.71323
15,1.46508,1.44859,0.02196,1.25307,1.30344,0.01795,0.009460,0.72368
16,1.45806,1.43998,0.02177,1.24396,1.28807,0.01780,0.009388,0.72473
17,1.45098,1.42594,0.02174,1.23897,1.26854,0.01762,0.009311,0.72611
18,1.45298,1.41595,0.02160,1.23816,1.24732,0.01758,0.009229,0.73227
19,1.44377,1.40791,0.02146,1.22549,1.23236,0.01730,0.009144,0.73488
20,1.43650,1.39602,0.02127,1.22062,1.21478,0.01717,0.009055,0.73945
21,1.42818,1.38110,0.02114,1.20762,1.20618,0.01691,0.008961,0.73881
22,1.42267,1.37475,0.02102,1.19978,1.18895,0.01676,0.008864,0.74698
23,1.42323,1.36758,0.02108,1.19880,1.17537,0.01671,0.008763,0.74989
24,1.41475,1.36823,0.02091,1.19437,1.17057,0.01664,0.008658,0.74867
25,1.41042,1.35859,0.02076,1.18582,1.16880,0.01640,0.008550,0.75208
26,1.41102,1.34933,0.02074,1.18470,1.15957,0.01646,0.008439,0.75198
27,1.40629,1.34794,0.02072,1.17196,1.16347,0.01614,0.008323,0.75452
28,1.39941,1.33102,0.02049,1.16961,1.15342,0.01611,0.008205,0.75572
29,1.39671,1.32638,0.02049,1.16982,1.14082,0.01611,0.008084,0.75923
